
Date / Time: Fri Mar 31 01:23:50 2017

   ****************************************
   * PSO Neural Net (Gaussian Activation) *
   *       by William Boler, BSCE         *
   *     Research Assistant, IUPUI        *
   *                                      *
   *  Professor: Dr. Lauren Christopher   *
   *     Created: March 13, 2017          *
   ****************************************


Inputs: 10
Inner Nets: 1
 - 9
Tests per train(min): 100
Particles: 50
Neighbors: 10
Minimum Particle Iterations: 1000
Particle (0):: Fit: 50.3602	PB: 50.3602	LB: 50.3602	GB: 50.3602	Conf: 2	Pts: 110099
Particle (1):: Fit: 51.5092	PB: 51.5092	LB: 51.5092	GB: 51.5092	Conf: 1.98684	Pts: 110099
Particle (2):: Fit: 48.0289	PB: 48.0289	LB: 51.5092	GB: 51.5092	Conf: 2	Pts: 55099
Particle (3):: Fit: 47.242	PB: 47.242	LB: 51.5092	GB: 51.5092	Conf: 2	Pts: 55099
Particle (4):: Fit: 49.5878	PB: 49.5878	LB: 51.5092	GB: 51.5092	Conf: 2	Pts: 65099
Particle (5):: Fit: 49.1999	PB: 49.1999	LB: 51.5092	GB: 51.5092	Conf: 2	Pts: 55099
Particle (6):: Fit: 47.242	PB: 47.242	LB: 49.5878	GB: 51.5092	Conf: 2	Pts: 55099
Particle (7):: Fit: 9.5037	PB: 9.5037	LB: 49.5878	GB: 51.5092	Conf: 0.710605	Pts: 55099
Particle (8):: Fit: 48.8108	PB: 48.8108	LB: 49.5878	GB: 51.5092	Conf: 2	Pts: 65099
Particle (9):: Fit: 45.6723	PB: 45.6723	LB: 49.1999	GB: 51.5092	Conf: 1.89836	Pts: 55099
Particle (10):: Fit: 93.2872	PB: 93.2872	LB: 93.2872	GB: 93.2872	Conf: 1.76283	Pts: 110099
Particle (11):: Fit: 50.7448	PB: 50.7448	LB: 93.2872	GB: 93.2872	Conf: 2	Pts: 55099
Particle (12):: Fit: 103.076	PB: 103.076	LB: 103.076	GB: 103.076	Conf: 1.24247	Pts: 110099
Particle (13):: Fit: 45.2508	PB: 45.2508	LB: 103.076	GB: 103.076	Conf: 2	Pts: 55099
Particle (14):: Fit: 105.513	PB: 105.513	LB: 105.513	GB: 105.513	Conf: 1.92216	Pts: 110099
Particle (15):: Fit: 108.465	PB: 108.465	LB: 108.465	GB: 108.465	Conf: 1.79762	Pts: 110099
Particle (16):: Fit: 89.1787	PB: 89.1787	LB: 108.465	GB: 108.465	Conf: 1.6169	Pts: 55099
Particle (17):: Fit: 42.1686	PB: 42.1686	LB: 108.465	GB: 108.465	Conf: 1.94163	Pts: 55099
Particle (18):: Fit: 49.5878	PB: 49.5878	LB: 108.465	GB: 108.465	Conf: 2	Pts: 60099
Particle (19):: Fit: 50.7448	PB: 50.7448	LB: 108.465	GB: 108.465	Conf: 2	Pts: 65099
Particle (20):: Fit: 51.1282	PB: 51.1282	LB: 89.1787	GB: 108.465	Conf: 2	Pts: 70099
Particle (21):: Fit: 47.9314	PB: 47.9314	LB: 51.1282	GB: 108.465	Conf: 1.9499	Pts: 55099
Particle (22):: Fit: 77.8379	PB: 77.8379	LB: 77.8379	GB: 108.465	Conf: 1.33347	Pts: 80099
Particle (23):: Fit: 49.5878	PB: 49.5878	LB: 77.8379	GB: 108.465	Conf: 2	Pts: 55099
Particle (24):: Fit: 73.9046	PB: 73.9046	LB: 77.8379	GB: 108.465	Conf: 1.2477	Pts: 60099
Particle (25):: Fit: 46.4497	PB: 46.4497	LB: 77.8379	GB: 108.465	Conf: 2	Pts: 55099
Particle (26):: Fit: 48.8108	PB: 48.8108	LB: 77.8379	GB: 108.465	Conf: 2	Pts: 60099
Particle (27):: Fit: 48.5544	PB: 48.5544	LB: 73.9046	GB: 108.465	Conf: 0.86363	Pts: 55099
Particle (28):: Fit: 49.9834	PB: 49.9834	LB: 73.9046	GB: 108.465	Conf: 1.98257	Pts: 70099
Particle (29):: Fit: 52.0209	PB: 52.0209	LB: 52.0209	GB: 108.465	Conf: 1.87746	Pts: 75099
Particle (30):: Fit: 49.1999	PB: 49.1999	LB: 52.0209	GB: 108.465	Conf: 2	Pts: 55099
Particle (31):: Fit: 51.0788	PB: 51.0788	LB: 52.0209	GB: 108.465	Conf: 0.85282	Pts: 60099
Particle (32):: Fit: 45.7879	PB: 45.7879	LB: 52.0209	GB: 108.465	Conf: 0.159238	Pts: 55099
Particle (33):: Fit: 51.1282	PB: 51.1282	LB: 52.0209	GB: 108.465	Conf: 2	Pts: 70099
Particle (34):: Fit: 53.4074	PB: 53.4074	LB: 53.4074	GB: 108.465	Conf: 2	Pts: 100099
Particle (35):: Fit: 47.2383	PB: 47.2383	LB: 53.4074	GB: 108.465	Conf: 1.98005	Pts: 55099
Particle (36):: Fit: 50.782	PB: 50.782	LB: 53.4074	GB: 108.465	Conf: 1.93937	Pts: 60099
Particle (37):: Fit: 8.42898	PB: 8.42898	LB: 53.4074	GB: 108.465	Conf: 0.852639	Pts: 55099
Particle (38):: Fit: 50.7448	PB: 50.7448	LB: 53.4074	GB: 108.465	Conf: 2	Pts: 60099
Particle (39):: Fit: 49.0057	PB: 49.0057	LB: 50.782	GB: 108.465	Conf: 0.145395	Pts: 55099
Particle (40):: Fit: 106.45	PB: 106.45	LB: 106.45	GB: 108.465	Conf: 1.85561	Pts: 100099
Particle (41):: Fit: 48.1293	PB: 48.1293	LB: 106.45	GB: 108.465	Conf: 1.25789	Pts: 50099
Particle (42):: Fit: 47.6361	PB: 47.6361	LB: 106.45	GB: 108.465	Conf: 2	Pts: 50099
Particle (43):: Fit: 50.3602	PB: 50.3602	LB: 106.45	GB: 108.465	Conf: 2	Pts: 50099
Particle (44):: Fit: 53.4074	PB: 53.4074	LB: 106.45	GB: 108.465	Conf: 2	Pts: 70099
Particle (45):: Fit: 49.9746	PB: 49.9746	LB: 53.4074	GB: 108.465	Conf: 2	Pts: 50099
Particle (46):: Fit: 49.9746	PB: 49.9746	LB: 53.4074	GB: 108.465	Conf: 2	Pts: 50099
Particle (47):: Fit: 50.3602	PB: 50.3602	LB: 53.4074	GB: 108.465	Conf: 2	Pts: 50099
Particle (48):: Fit: 111.739	PB: 111.739	LB: 111.739	GB: 111.739	Conf: 1.96294	Pts: 110099
Particle (49):: Fit: 49.1999	PB: 49.1999	LB: 111.739	GB: 111.739	Conf: 2	Pts: 50099
Global: 111.739 - Correct: 49% of 100 tests
Global Best: 
  Inner Net 1
  -- 1 : 1 = 0.1756
  -- 1 : 2 = 0.0784
  -- 1 : 3 = 0.2658
  -- 1 : 4 = 0.2466
  -- 1 : 5 = 0.2207
  -- 1 : 6 = 0.0416
  -- 1 : 7 = 0.0179
  -- 1 : 8 = 0.3138
  -- 1 : 9 = 0.5306
  -- 2 : 1 = 0.2515
  -- 2 : 2 = 0.1751
  -- 2 : 3 = 0.9523
  -- 2 : 4 = 0.1336
  -- 2 : 5 = 0.0943
  -- 2 : 6 = 0.1449
  -- 2 : 7 = 0.9405
  -- 2 : 8 = 0.6216
  -- 2 : 9 = 0.067
  -- 3 : 1 = 0.9321
  -- 3 : 2 = 0.2002
  -- 3 : 3 = 0.1675
  -- 3 : 4 = 0.522
  -- 3 : 5 = 0.3374
  -- 3 : 6 = 0.3324
  -- 3 : 7 = 0.088
  -- 3 : 8 = 0.6624
  -- 3 : 9 = 0.6348
  -- 4 : 1 = 0.1651
  -- 4 : 2 = 0.3117
  -- 4 : 3 = 0.9505
  -- 4 : 4 = 0.0098
  -- 4 : 5 = 0.1859
  -- 4 : 6 = 0.1744
  -- 4 : 7 = 0.6219
  -- 4 : 8 = 0.0039
  -- 4 : 9 = 0.8797
  -- 5 : 1 = 0.5158
  -- 5 : 2 = 0.9129
  -- 5 : 3 = 0.0487
  -- 5 : 4 = 0.6141
  -- 5 : 5 = 0.1789
  -- 5 : 6 = 0.2037
  -- 5 : 7 = 0.4248
  -- 5 : 8 = 0.0924
  -- 5 : 9 = 0.4837
  -- 6 : 1 = 0.3894
  -- 6 : 2 = 0.2402
  -- 6 : 3 = 0.7399
  -- 6 : 4 = 0.8861
  -- 6 : 5 = 0.2537
  -- 6 : 6 = 0.3758
  -- 6 : 7 = 0.32
  -- 6 : 8 = 0.0235
  -- 6 : 9 = 0.9252
  -- 7 : 1 = 0.2541
  -- 7 : 2 = 0.5924
  -- 7 : 3 = 0.2187
  -- 7 : 4 = 0.0823
  -- 7 : 5 = 0.6285
  -- 7 : 6 = 0.8636
  -- 7 : 7 = 0.8924
  -- 7 : 8 = 0.7124
  -- 7 : 9 = 0.1672
  -- 8 : 1 = 0.9655
  -- 8 : 2 = 0.1062
  -- 8 : 3 = 0.1968
  -- 8 : 4 = 0.6029
  -- 8 : 5 = 0.5112
  -- 8 : 6 = 0.9665
  -- 8 : 7 = 0.4202
  -- 8 : 8 = 0.2659
  -- 8 : 9 = 0.2412
  -- 9 : 1 = 0.9555
  -- 9 : 2 = 0.6139
  -- 9 : 3 = 0.5563
  -- 9 : 4 = 0.2031
  -- 9 : 5 = 0.2888
  -- 9 : 6 = 0.9263
  -- 9 : 7 = 0.7286
  -- 9 : 8 = 0.7903
  -- 9 : 9 = 0.4455
  -- 10 : 1 = 0.0723
  -- 10 : 2 = 0.4807
  -- 10 : 3 = 0.4465
  -- 10 : 4 = 0.781
  -- 10 : 5 = 0.7967
  -- 10 : 6 = 0.7385
  -- 10 : 7 = 0.7843
  -- 10 : 8 = 0.8798
  -- 10 : 9 = 0.1639
  Inner Net 2
  -- 1 : 1 = -0.0052
  -- 1 : 2 = 0.4698
  -- 2 : 1 = 0.2268
  -- 2 : 2 = 0.122
  -- 3 : 1 = -0.0855076
  -- 3 : 2 = 0.1925
  -- 4 : 1 = -0.293431
  -- 4 : 2 = -0.072
  -- 5 : 1 = -0.0461
  -- 5 : 2 = 0.117
  -- 6 : 1 = -0.0898
  -- 6 : 2 = -0.0766
  -- 7 : 1 = 0.1321
  -- 7 : 2 = 0.1359
  -- 8 : 1 = 0.38266
  -- 8 : 2 = 0.0335087
  -- 9 : 1 = -0.1695
  -- 9 : 2 = 0.2139
Out\Act	False		True
False	0.84198	0	0.84198
True	0.157544	0.000475964	0.15802
	0.999524	0.000475964
	Accuracy [ (tp + tn) / testSize ]: 0.842456
	Precision [ tp / (tp + fp) ]:      0.5
	Sensitivity [ tp / (tp + fn) ]:    0.003003
	Specificity [ tn / (tn + fp) ]:    0.999435
	F-Score [ 2tp / (2tp + fp + fn) ]: 0.00598802
Particle (0):: Fit: 50.7448	PB: 50.7448	LB: 111.739	GB: 111.739	Conf: 2	Pts: 110198
Particle (2):: Fit: 51.892	PB: 51.892	LB: 111.739	GB: 111.739	Conf: 2	Pts: 65198
Particle (3):: Fit: 48.4205	PB: 48.4205	LB: 51.892	GB: 111.739	Conf: 2	Pts: 55198
Particle (5):: Fit: 49.9746	PB: 49.9746	LB: 93.2872	GB: 111.739	Conf: 2	Pts: 55198
Particle (6):: Fit: 111.761	PB: 111.761	LB: 111.761	GB: 111.761	Conf: 1.96689	Pts: 115198
Particle (7):: Fit: 51.1716	PB: 51.1716	LB: 111.761	GB: 111.761	Conf: 0.718501	Pts: 55198
Particle (8):: Fit: 50.7448	PB: 50.7448	LB: 111.761	GB: 111.761	Conf: 2	Pts: 65198
Particle (9):: Fit: 99.938	PB: 99.938	LB: 111.761	GB: 111.761	Conf: 1.88255	Pts: 55198
Particle (13):: Fit: 50.7448	PB: 50.7448	LB: 108.465	GB: 111.761	Conf: 2	Pts: 55198
Particle (17):: Fit: 47.7437	PB: 47.7437	LB: 108.465	GB: 111.761	Conf: 1.92582	Pts: 55198
Particle (18):: Fit: 50.7448	PB: 50.7448	LB: 108.465	GB: 111.761	Conf: 2	Pts: 60198
Particle (21):: Fit: 49.623	PB: 49.623	LB: 77.8379	GB: 111.761	Conf: 1.93943	Pts: 55198
Particle (22):: Fit: 81.999	PB: 81.999	LB: 81.999	GB: 111.761	Conf: 0.922014	Pts: 110198
Particle (25):: Fit: 49.1999	PB: 49.1999	LB: 81.999	GB: 111.761	Conf: 2	Pts: 55198
Particle (27):: Fit: 49.1518	PB: 49.1518	LB: 73.9046	GB: 111.761	Conf: 0.571025	Pts: 55198
Particle (29):: Fit: 89.4186	PB: 89.4186	LB: 89.4186	GB: 111.761	Conf: 1.76044	Pts: 125198
Particle (30):: Fit: 49.5878	PB: 49.5878	LB: 89.4186	GB: 111.761	Conf: 2	Pts: 55198
Particle (32):: Fit: 48.4186	PB: 48.4186	LB: 89.4186	GB: 111.761	Conf: 0.961122	Pts: 55198
Particle (35):: Fit: 47.242	PB: 47.242	LB: 106.45	GB: 111.761	Conf: 2	Pts: 55198
Particle (36):: Fit: 110.375	PB: 110.375	LB: 110.375	GB: 111.761	Conf: 1.85913	Pts: 110198
Particle (37):: Fit: 9.34191	PB: 9.34191	LB: 110.375	GB: 111.761	Conf: 0.29336	Pts: 55197
Particle (41):: Fit: 67.9871	PB: 67.9871	LB: 106.45	GB: 111.761	Conf: 1.33387	Pts: 50198
Particle (42):: Fit: 51.1282	PB: 51.1282	LB: 106.45	GB: 111.761	Conf: 2	Pts: 50198
Particle (49):: Fit: 51.1282	PB: 51.1282	LB: 111.739	GB: 111.761	Conf: 2	Pts: 50198
Global: 111.761 - Correct: 49% of 100 tests
Global Best: 
  Inner Net 1
  -- 1 : 1 = 0.7076
  -- 1 : 2 = 0.5088
  -- 1 : 3 = 0.9828
  -- 1 : 4 = 0.0478
  -- 1 : 5 = 0.3939
  -- 1 : 6 = 0.7045
  -- 1 : 7 = 0.8475
  -- 1 : 8 = 0.0838
  -- 1 : 9 = 0.625
  -- 2 : 1 = 0.6416
  -- 2 : 2 = 0.6296
  -- 2 : 3 = 0.3334
  -- 2 : 4 = 0.0236
  -- 2 : 5 = 0.2633
  -- 2 : 6 = 0.2132
  -- 2 : 7 = 0.0876
  -- 2 : 8 = 0.5228
  -- 2 : 9 = 0.0339
  -- 3 : 1 = 0.4982
  -- 3 : 2 = 0.2373
  -- 3 : 3 = 0.826
  -- 3 : 4 = 0.8002
  -- 3 : 5 = 0.8196
  -- 3 : 6 = 0.3616
  -- 3 : 7 = 0.404
  -- 3 : 8 = 0.4413
  -- 3 : 9 = 0.8582
  -- 4 : 1 = 0.5298
  -- 4 : 2 = 0.0294
  -- 4 : 3 = 0.0579
  -- 4 : 4 = 0.9245
  -- 4 : 5 = 0.7355
  -- 4 : 6 = 0.6929
  -- 4 : 7 = 0.6354
  -- 4 : 8 = 0.8308
  -- 4 : 9 = 0.9209
  -- 5 : 1 = 0.515
  -- 5 : 2 = 0.3766
  -- 5 : 3 = 0.511
  -- 5 : 4 = 0.9115
  -- 5 : 5 = 0.0526
  -- 5 : 6 = 0.488
  -- 5 : 7 = 0.0944
  -- 5 : 8 = 0.7737
  -- 5 : 9 = 0.1053
  -- 6 : 1 = 0.2583
  -- 6 : 2 = 0.1016
  -- 6 : 3 = 0.0211
  -- 6 : 4 = 0.6522
  -- 6 : 5 = 0.5699
  -- 6 : 6 = 0.1919
  -- 6 : 7 = 0.0135
  -- 6 : 8 = 0.5784
  -- 6 : 9 = 0.0023
  -- 7 : 1 = 0.6211
  -- 7 : 2 = 0.9303
  -- 7 : 3 = 0.0357
  -- 7 : 4 = 0.6078
  -- 7 : 5 = 0.1176
  -- 7 : 6 = 0.4906
  -- 7 : 7 = 0.6681
  -- 7 : 8 = 0.8122
  -- 7 : 9 = 0.1367
  -- 8 : 1 = 0.2321
  -- 8 : 2 = 0.9761
  -- 8 : 3 = 0.0105
  -- 8 : 4 = 0.8279
  -- 8 : 5 = 0.6012
  -- 8 : 6 = 0.5581
  -- 8 : 7 = 0.6969
  -- 8 : 8 = 0.9868
  -- 8 : 9 = 0.9247
  -- 9 : 1 = 0.3334
  -- 9 : 2 = 0.4829
  -- 9 : 3 = 0.2013
  -- 9 : 4 = 0.7472
  -- 9 : 5 = 0.0404
  -- 9 : 6 = 0.9505
  -- 9 : 7 = 0.233
  -- 9 : 8 = 0.6066
  -- 9 : 9 = 0.6207
  -- 10 : 1 = 0.2026
  -- 10 : 2 = 0.9838
  -- 10 : 3 = 0.3286
  -- 10 : 4 = 0.3829
  -- 10 : 5 = 0.3186
  -- 10 : 6 = 0.7153
  -- 10 : 7 = 0.76
  -- 10 : 8 = 0.7883
  -- 10 : 9 = 0.6994
  Inner Net 2
  -- 1 : 1 = -0.233291
  -- 1 : 2 = -0.274839
  -- 2 : 1 = 0.218078
  -- 2 : 2 = -0.142907
  -- 3 : 1 = -0.3997
  -- 3 : 2 = 0.135406
  -- 4 : 1 = -0.221
  -- 4 : 2 = 0.18456
  -- 5 : 1 = -0.0572995
  -- 5 : 2 = -0.322902
  -- 6 : 1 = -0.2215
  -- 6 : 2 = 0.203766
  -- 7 : 1 = -0.239504
  -- 7 : 2 = -0.18637
  -- 8 : 1 = 0.203716
  -- 8 : 2 = -0.5284
  -- 9 : 1 = -0.66934
  -- 9 : 2 = -0.0956645
Out\Act	False		True
False	0.84198	0	0.84198
True	0.15802	0	0.15802
	1	0
	Accuracy [ (tp + tn) / testSize ]: 0.84198
	Precision [ tp / (tp + fp) ]:      0
	Sensitivity [ tp / (tp + fn) ]:    0
	Specificity [ tn / (tn + fp) ]:    0.999435
	F-Score [ 2tp / (2tp + fp + fn) ]: 0
Particle (2):: Fit: 100.669	PB: 100.669	LB: 111.761	GB: 111.761	Conf: 1.95478	Pts: 65297
Particle (4):: Fit: 50.3602	PB: 50.3602	LB: 111.761	GB: 111.761	Conf: 2	Pts: 65197
Particle (5):: Fit: 52.2723	PB: 52.2723	LB: 111.761	GB: 111.761	Conf: 2	Pts: 55297
Particle (10):: Fit: 106.794	PB: 106.794	LB: 111.761	GB: 111.761	Conf: 1.86027	Pts: 110197
Particle (13):: Fit: 51.892	PB: 51.892	LB: 108.465	GB: 111.761	Conf: 2	Pts: 55297
Particle (16):: Fit: 96.5358	PB: 96.5358	LB: 108.465	GB: 111.761	Conf: 1.43206	Pts: 60197
Particle (17):: Fit: 98.0035	PB: 98.0035	LB: 108.465	GB: 111.761	Conf: 1.92886	Pts: 65297
