
Date / Time: Fri Mar 31 01:54:59 2017

   ****************************************
   * PSO Neural Net (Gaussian Activation) *
   *       by William Boler, BSCE         *
   *     Research Assistant, IUPUI        *
   *                                      *
   *  Professor: Dr. Lauren Christopher   *
   *     Created: March 13, 2017          *
   ****************************************


Inputs: 10
Inner Nets: 1
 - 9
Tests per train(min): 100
Particles: 50
Neighbors: 10
Minimum Particle Iterations: 1000
Particle (0):: Fit: 110.444	PB: 110.444	LB: 110.444	GB: 110.444	Conf: 1.55115	Pts: 110099
Particle (1):: Fit: 113.687	PB: 113.687	LB: 113.687	GB: 113.687	Conf: 2	Pts: 110099
Particle (2):: Fit: 0.0091335	PB: 0.0091335	LB: 113.687	GB: 113.687	Conf: 0.821931	Pts: 55099
Particle (3):: Fit: 0.0103524	PB: 0.0103524	LB: 113.687	GB: 113.687	Conf: 2	Pts: 60099
Particle (4):: Fit: 121.817	PB: 121.817	LB: 121.817	GB: 121.817	Conf: 1.98626	Pts: 110099
Particle (5):: Fit: 11.9731	PB: 11.9731	LB: 121.817	GB: 121.817	Conf: 0.301727	Pts: 55099
Particle (6):: Fit: 113.687	PB: 113.687	LB: 121.817	GB: 121.817	Conf: 2	Pts: 60099
Particle (7):: Fit: 0.00831788	PB: 0.00831788	LB: 121.817	GB: 121.817	Conf: 2	Pts: 55099
Particle (8):: Fit: 107.997	PB: 107.997	LB: 121.817	GB: 121.817	Conf: 1.82217	Pts: 60099
Particle (9):: Fit: 113.687	PB: 113.687	LB: 113.687	GB: 121.817	Conf: 2	Pts: 65099
Particle (10):: Fit: 0.0101496	PB: 0.0101496	LB: 113.687	GB: 121.817	Conf: 1.9709	Pts: 55099
Particle (11):: Fit: 117.84	PB: 117.84	LB: 117.84	GB: 121.817	Conf: 0.570444	Pts: 85099
Particle (12):: Fit: 111.655	PB: 111.655	LB: 117.84	GB: 121.817	Conf: 2	Pts: 55099
Particle (13):: Fit: 127.906	PB: 127.906	LB: 127.906	GB: 127.906	Conf: 2	Pts: 110099
Particle (14):: Fit: 0.0101565	PB: 0.0101565	LB: 127.906	GB: 127.906	Conf: 1.92042	Pts: 55099
Particle (15):: Fit: 115.719	PB: 115.719	LB: 127.906	GB: 127.906	Conf: 2	Pts: 60099
Particle (16):: Fit: 0.00933549	PB: 0.00933549	LB: 127.906	GB: 127.906	Conf: 2	Pts: 55099
