
Date / Time: Fri Mar 31 01:33:06 2017

   ****************************************
   * PSO Neural Net (Gaussian Activation) *
   *       by William Boler, BSCE         *
   *     Research Assistant, IUPUI        *
   *                                      *
   *  Professor: Dr. Lauren Christopher   *
   *     Created: March 13, 2017          *
   ****************************************


Inputs: 10
Inner Nets: 1
 - 9
Tests per train(min): 100
Particles: 50
Neighbors: 10
Minimum Particle Iterations: 1000
Particle (0):: Fit: 29.9108	PB: 29.9108	LB: 29.9108	GB: 29.9108	Conf: 1.93469	Pts: 110099
Particle (1):: Fit: 41.8464	PB: 41.8464	LB: 41.8464	GB: 41.8464	Conf: 1.98936	Pts: 110099
Particle (2):: Fit: 37.043	PB: 37.043	LB: 41.8464	GB: 41.8464	Conf: 2	Pts: 55099
Particle (3):: Fit: 12.7772	PB: 12.7772	LB: 41.8464	GB: 41.8464	Conf: 0.0742517	Pts: 55099
Particle (4):: Fit: 57.7418	PB: 57.7418	LB: 57.7418	GB: 57.7418	Conf: 0.929969	Pts: 110099
Particle (5):: Fit: 37.0474	PB: 37.0474	LB: 57.7418	GB: 57.7418	Conf: 1.98379	Pts: 55099
Particle (6):: Fit: 34.1254	PB: 34.1254	LB: 57.7418	GB: 57.7418	Conf: 2	Pts: 55099
Particle (7):: Fit: 39.0373	PB: 39.0373	LB: 57.7418	GB: 57.7418	Conf: 1.39259	Pts: 65099
Particle (8):: Fit: 38.4774	PB: 38.4774	LB: 57.7418	GB: 57.7418	Conf: 0.99776	Pts: 55099
Particle (9):: Fit: 40.8974	PB: 40.8974	LB: 40.8974	GB: 57.7418	Conf: 2	Pts: 75099
Particle (10):: Fit: 40.8974	PB: 40.8974	LB: 40.8974	GB: 57.7418	Conf: 2	Pts: 55099
Particle (11):: Fit: 10.8192	PB: 10.8192	LB: 40.8974	GB: 57.7418	Conf: 0.49951	Pts: 55099
Particle (12):: Fit: 32.7897	PB: 32.7897	LB: 40.8974	GB: 57.7418	Conf: 1.94274	Pts: 60099
