
Date / Time: Fri Mar 31 01:11:11 2017

   ****************************************
   * PSO Neural Net (Gaussian Activation) *
   *       by William Boler, BSCE         *
   *     Research Assistant, IUPUI        *
   *                                      *
   *  Professor: Dr. Lauren Christopher   *
   *     Created: March 13, 2017          *
   ****************************************


Inputs: 10
Inner Nets: 1
 - 9
Tests per train(min): 500
Particles: 50
Neighbors: 10
Minimum Particle Iterations: 1000
Particle (0):: Fit: 105.451	PB: 105.451	LB: 105.451	GB: 105.451	Conf: 0.479758	Pts: 110099
Particle (1):: Fit: 2756.29	PB: 2756.29	LB: 2756.29	GB: 2756.29	Conf: 2	Pts: 110099
Particle (2):: Fit: 2753.51	PB: 2753.51	LB: 2756.29	GB: 2756.29	Conf: 0.535556	Pts: 55099
Particle (3):: Fit: 2755.75	PB: 2755.75	LB: 2756.29	GB: 2756.29	Conf: 2	Pts: 60099
Particle (4):: Fit: 2755.28	PB: 2755.28	LB: 2756.29	GB: 2756.29	Conf: 2	Pts: 55099
Particle (5):: Fit: 2755.2	PB: 2755.2	LB: 2756.29	GB: 2756.29	Conf: 1.85909	Pts: 55099
Particle (6):: Fit: 2755.05	PB: 2755.05	LB: 2755.75	GB: 2756.29	Conf: 1.21859	Pts: 55099
Particle (7):: Fit: 2755.56	PB: 2755.56	LB: 2755.75	GB: 2756.29	Conf: 1.99225	Pts: 70099
Particle (8):: Fit: 1098.15	PB: 1098.15	LB: 2755.56	GB: 2756.29	Conf: 0.62409	Pts: 55099
Particle (9):: Fit: 2753.33	PB: 2753.33	LB: 2755.56	GB: 2756.29	Conf: 2	Pts: 60099
Particle (10):: Fit: 2756.47	PB: 2756.47	LB: 2756.47	GB: 2756.47	Conf: 2	Pts: 110099
Particle (11):: Fit: 3214.15	PB: 3214.15	LB: 3214.15	GB: 3214.15	Conf: 1.1542	Pts: 110099
Particle (12):: Fit: 2673.08	PB: 2673.08	LB: 3214.15	GB: 3214.15	Conf: 1.97122	Pts: 55099
Particle (13):: Fit: 2755.09	PB: 2755.09	LB: 3214.15	GB: 3214.15	Conf: 2	Pts: 60099
Particle (14):: Fit: 2756.15	PB: 2756.15	LB: 3214.15	GB: 3214.15	Conf: 1.07074	Pts: 65099
Particle (15):: Fit: 2707.46	PB: 2707.46	LB: 3214.15	GB: 3214.15	Conf: 1.98438	Pts: 55099
Particle (16):: Fit: 5522.42	PB: 5522.42	LB: 5522.42	GB: 5522.42	Conf: 1.99308	Pts: 110099
Particle (17):: Fit: 2755.93	PB: 2755.93	LB: 5522.42	GB: 5522.42	Conf: 1.99798	Pts: 55099
Particle (18):: Fit: 2754.43	PB: 2754.43	LB: 5522.42	GB: 5522.42	Conf: 1.99561	Pts: 55099
Particle (19):: Fit: 2755.52	PB: 2755.52	LB: 5522.42	GB: 5522.42	Conf: 1.54742	Pts: 60099
Particle (20):: Fit: 2755.07	PB: 2755.07	LB: 5522.42	GB: 5522.42	Conf: 1.85443	Pts: 55099
Particle (21):: Fit: 2754.81	PB: 2754.81	LB: 2755.93	GB: 5522.42	Conf: 2	Pts: 55099
Particle (22):: Fit: 2755.19	PB: 2755.19	LB: 2755.52	GB: 5522.42	Conf: 2	Pts: 65099
Particle (23):: Fit: 2754.03	PB: 2754.03	LB: 2755.52	GB: 5522.42	Conf: 1.99685	Pts: 55099
Particle (24):: Fit: 2683.88	PB: 2683.88	LB: 2755.19	GB: 5522.42	Conf: 1.98338	Pts: 55099
Particle (25):: Fit: 2754.81	PB: 2754.81	LB: 2755.19	GB: 5522.42	Conf: 1.99675	Pts: 65099
Particle (26):: Fit: 2755.47	PB: 2755.47	LB: 2755.47	GB: 5522.42	Conf: 2	Pts: 85099
Particle (27):: Fit: 2754.9	PB: 2754.9	LB: 2755.47	GB: 5522.42	Conf: 2	Pts: 55099
Particle (28):: Fit: 226.066	PB: 226.066	LB: 2755.47	GB: 5522.42	Conf: 0.94168	Pts: 55099
